MLSNUM,LISTPRICE,ZIP,BEDS,BATHS,SQFT
71912109,167000.0,01810,2,1.0,934
71912244,369000.0,02116,0,1.0,425
71912261,1599999.0,02118,3,3.0,1639
71912334,258900.0,02351,2,1.5,1332
71912452,152000.0,01749,1,1.0,893
71912519,349900.0,02151,2,2.5,1805
71912561,249900.0,01904,2,1.5,1086
71912570,495000.0,02124,1,1.5,1202
71912587,400000.0,01581,2,2.0,1874
71912607,879000.0,02127,3,2.5,1833
71912610,675000.0,02127,2,2.5,1107
71912656,799000.0,02118,1,1.0,1105
71912722,87900.0,01610,3,1.0,1241
71912767,232400.0,01913,2,2.0,1133
71912777,649900.0,01867,2,2.5,2970
71912786,449000.0,02118,2,1.0,830
71912801,179000.0,01886,2,1.0,863
71912919,799000.0,02129,3,2.5,1601
71912946,1395000.0,02118,2,2.5,1501
71913150,432000.0,02114,0,1.0,691
71913202,655000.0,02421,3,3.0,1749
71913210,299900.0,02532,2,2.0,2240
71913249,399900.0,02155,2,2.0,1206
71913278,319000.0,02132,2,1.0,865
71913302,189900.0,01880,2,1.0,780
71913320,419900.0,01886,2,2.5,1980
71913321,439900.0,01886,2,2.5,1920
71913385,539000.0,01757,2,3.5,2897
71913406,175900.0,01970,2,1.0,1075
71913439,206900.0,02019,2,1.5,1400
71913503,289900.0,01701,3,2.5,1232
71913538,479500.0,02360,2,2.5,1961
71913578,419000.0,01950,2,2.5,1248
71913679,2400000.0,02108,3,2.5,2355
71913696,354000.0,02131,2,1.0,984
71913704,479000.0,02125,2,2.0,939
71913858,1250000.0,02129,2,2.0,1319
71913939,699900.0,01944,3,2.5,2524
71914010,399999.0,01801,3,2.5,2000
71914046,828000.0,02467,2,2.5,1731
71914106,165900.0,01844,2,1.5,950
71914173,119900.0,02652,0,1.0,310
71914400,134000.0,01835,2,1.0,730
71914405,299900.0,01845,2,2.0,1337
71914422,159900.0,01543,1,2.0,892
71914471,329000.0,02130,2,1.0,747
71914563,344900.0,02148,2,1.5,1776
71914721,399000.0,02021,2,2.5,1355
71914744,375000.0,02021,2,2.5,1201
71914932,639000.0,01730,2,2.0,1688
71915051,237900.0,01907,2,1.5,1597
71915094,199900.0,02338,2,1.5,1060
71915100,299900.0,01027,3,2.5,1819
71915103,101500.0,01830,1,1.0,727
71915152,144900.0,01453,2,1.0,1035
71915216,64900.0,01301,2,1.0,823
71915293,279900.0,01876,3,1.5,1797
71915349,344000.0,01721,2,2.5,2249
71915392,214900.0,01545,2,1.5,1400
71915498,107500.0,01073,2,1.5,918
71915526,899000.0,02445,3,2.0,1697
71915536,849000.0,02129,2,2.0,1326
71915553,468800.0,01775,3,2.5,2382
71915590,665000.0,02446,1,1.0,826
71915630,229990.0,01810,2,2.0,1163
71915640,929000.0,02118,2,2.0,1174
71915675,559000.0,02127,3,1.0,1206
71915688,194900.0,01747,2,1.5,1728
71915775,389000.0,02128,3,2.5,1545
71915784,116900.0,06082,2,1.5,1235
71915948,1235000.0,02118,2,2.5,1494
71915953,550000.0,01913,2,2.5,2031
71915971,329000.0,02169,2,2.0,1186
71916078,379900.0,01801,2,2.0,1245
71916181,289000.0,01845,3,2.5,1415
71916191,299900.0,02176,2,1.0,1337
71916246,979000.0,02420,3,3.5,2844
71916265,214000.0,01536,3,1.5,1400
71916272,128300.0,01913,1,1.0,740
71916274,389000.0,02130,2,1.0,1066
71916311,599900.0,01950,3,2.0,1386
71916330,699000.0,02130,2,2.0,1290
71916359,379000.0,02474,2,1.0,1175
71916361,339900.0,01801,2,1.5,1151
71916414,163000.0,01852,2,1.5,1254
71916450,129900.0,01757,2,1.0,1015
71916483,375000.0,01772,2,2.0,1962
71916584,269900.0,01905,2,2.0,1795
71916615,397000.0,01801,2,1.5,1190
71916622,209900.0,01970,2,1.0,799
71916705,449000.0,02118,1,1.0,760
71916732,799900.0,02130,4,2.5,2127
71916803,399900.0,01845,3,2.5,1950
71916836,325000.0,01970,2,2.0,1355
71916871,309000.0,02122,2,1.0,999
71917051,799000.0,02118,2,1.0,811
71917107,259000.0,01754,2,1.5,1800
71917199,232000.0,02370,2,1.5,1020
71917268,465000.0,02139,2,2.0,832
71917283,945000.0,02143,3,2.5,2067
71917337,109800.0,02301,1,1.0,819
71917346,208000.0,02338,2,1.5,1188
71917395,144900.0,01605,3,1.5,1206
71917501,699900.0,02111,2,1.0,1860
71917568,749000.0,02127,3,2.5,2057
71917629,279900.0,02038,2,2.0,1250
71917640,139000.0,02780,2,2.0,1072
71917717,349000.0,02136,3,2.5,1852
71917726,184000.0,01606,3,2.5,2709
71917732,319000.0,02171,2,1.0,782
71917796,469900.0,02150,3,2.5,2166
71917805,259900.0,01588,2,2.5,1334
71917920,1600000.0,02114,2,2.5,1660
71917932,239900.0,01510,2,2.0,1660
71917954,149000.0,01810,2,1.0,934
71918232,122000.0,01854,2,1.0,1005
71918393,949000.0,02445,3,2.0,1580
71918397,239900.0,01970,2,2.0,835
71918600,1399000.0,02210,2,2.5,1852
71918619,1099000.0,02116,3,2.0,1078
71918628,799000.0,02109,2,1.0,930
71918630,549000.0,02446,2,1.0,1190
71918693,449888.0,02169,3,2.5,1847
71918807,369900.0,02453,3,1.0,1810
71918862,499000.0,02119,3,2.5,1996
71918879,209000.0,01860,2,1.5,1155
71918909,209900.0,02019,2,1.5,1450
71918918,539000.0,02118,1,1.0,767
71919001,242500.0,01450,3,2.0,1502
71919038,410000.0,01520,2,2.5,2524
71919074,339900.0,02649,2,2.5,1721
71919109,895000.0,02138,3,2.0,1916
71919111,439000.0,02138,2,1.0,1012
71919142,1425000.0,02115,2,1.5,1300
71919198,554000.0,02135,4,1.5,1507
71919229,299000.0,01985,2,1.5,1462
71919231,1200000.0,02139,4,2.5,2385
71919268,379000.0,02155,2,2.0,1009
71919317,150000.0,01826,2,1.0,1054
71919321,339900.0,01876,2,2.0,1408
71919348,339900.0,02180,2,1.5,1215
71919397,495000.0,02143,2,1.5,980
71919405,285000.0,01863,3,2.0,1841
71919451,339000.0,02125,3,1.0,1326
71919519,535000.0,02113,1,1.0,695
71919527,289900.0,02367,3,2.5,1987
71919549,144900.0,02324,2,1.5,969
71919591,230000.0,02324,3,1.5,1380
71919639,335000.0,02770,2,2.5,1901
71919666,485000.0,01748,2,2.5,3330
71919753,214900.0,01748,2,1.5,998
71919771,148500.0,01902,1,1.0,519
71919827,239900.0,01960,2,1.5,1332
71919881,375000.0,02128,2,2.0,1191
71919957,319900.0,01721,2,2.5,2249
71919999,275000.0,02460,1,1.0,712
71920006,319000.0,02127,1,1.0,575
71920018,139900.0,01069,3,1.5,1411
71920024,95000.0,01752,1,1.0,526
71920030,359900.0,01886,2,3.0,2232
71920042,139900.0,02532,1,1.0,384
71920111,179000.0,01001,2,2.5,1428
71920139,274900.0,01760,2,2.5,961
71920144,394900.0,01886,2,3.0,2573
71920229,1490000.0,02116,2,2.0,1420
71920311,239900.0,02180,2,1.0,950
71920358,83500.0,01752,0,1.0,402
71920369,294900.0,02151,1,1.0,813
71920379,349500.0,02149,2,2.0,1165
71920476,124900.0,01719,2,1.0,830
71920636,325000.0,02138,1,1.0,345
71920645,249000.0,02125,1,1.0,607
71920730,279900.0,01106,3,3.0,2191
71920731,569000.0,02472,3,2.0,1850
71920814,174900.0,02766,2,1.5,1188
71920824,198000.0,02467,1,1.0,0
71920825,129900.0,01749,2,2.0,828
71921036,259900.0,01915,2,1.0,959
71921040,699900.0,01950,3,2.5,2054
71921071,88000.0,01605,2,1.5,912
71921140,265000.0,02190,2,2.0,1400
71921175,238000.0,01876,2,1.5,1240
71921353,426000.0,02128,2,2.0,912
71921365,1670000.0,02139,3,2.5,2220
71921366,139900.0,02780,3,2.5,1458
71921482,479900.0,01876,2,2.5,2150
71921511,117000.0,01702,2,1.0,977
71921583,349000.0,02171,1,1.0,844
71921584,999500.0,02116,2,1.5,1133
71921586,899000.0,02115,2,1.0,1054
71921587,759000.0,02445,3,1.5,1206
71921743,309900.0,01830,3,2.5,1859
71921748,309900.0,01830,3,2.5,1859
71921821,829000.0,02127,3,2.0,1654
71921822,329900.0,01907,2,2.0,1360
71922149,234617.0,02169,2,2.0,864
71922192,320898.0,02120,3,1.5,1353
71922221,179900.0,02721,3,1.5,1500
71922224,569000.0,02138,1,1.0,993
71922250,399900.0,01740,2,2.5,1776
71922319,209900.0,02169,2,1.0,824
71922331,292000.0,01718,3,2.5,1630
71922353,728000.0,02143,3,3.0,2059
71922355,229900.0,02762,2,1.5,1580
71922385,172900.0,01609,2,2.5,1015
71922431,225000.0,02351,2,2.5,1360
71922471,300000.0,01834,2,2.0,1382
71922527,485000.0,02025,2,2.5,2081
71922562,449000.0,02129,2,1.0,788
71922663,265000.0,02476,1,1.0,602
71922682,1099900.0,02420,4,4.5,3220
71922768,130000.0,02050,2,1.0,811
71922790,539000.0,02118,1,1.0,733
71922904,955000.0,02116,2,2.0,1197
71922968,249000.0,02021,2,2.0,988
